Date,Crop_Type,Soil_Type,Soil_pH,Temperature,Humidity,N,P,K,Crop_Yield,Soil_Quality
2014-01-01,Wheat,Peaty,5.5,9.440599409765400,80.0,60.50000000000000,45.0,31.5,0.0,22.833333333333300
2014-01-01,Corn,Loamy,6.5,20.052576424032600,79.94742357596740,84.0,66.0,50.0,104.87131032861900,66.66666666666670
2014-01-01,Rice,Peaty,5.5,12.143099171229300,80.0,71.5,54.0,38.5,0.0,27.333333333333300
2014-01-01,Barley,Sandy,6.75,19.751848411984500,80.0,50.0,40.0,30.0,58.93979633901680,35.0
2014-01-01,Soybean,Peaty,5.5,16.110394507823700,80.0,49.5,45.0,38.5,32.97041272118100,22.166666666666700
2014-01-01,Cotton,Sandy,6.75,14.826739078862000,80.0,55.00000000000000,44.0,36.0,29.356115491555600,39.375
2014-01-01,Sugarcane,Saline,8.0,13.533004268206700,80.0,84.5,66.0,54.0,0.0,17.041666666666700
2014-01-01,Tomato,Clay,6.25,18.32327171374930,80.0,60.0,45.0,40.0,22.221375114874600,42.29166666666670
2014-01-01,Potato,Peaty,5.5,18.895963172575000,80.0,60.50000000000000,45.0,31.5,54.25972686316480,22.833333333333300
2014-01-01,Sunflower,Loamy,6.5,16.865594573647100,80.0,70.0,66.0,55.00000000000000,68.11924993406160,63.666666666666700
2014-01-02,Wheat,Peaty,5.5,16.044317975023800,80.0,60.50000000000000,45.0,31.5,28.72353011550640,22.833333333333300
2014-01-02,Corn,Clay,6.25,15.984306179345600,80.0,72.0,55.00000000000000,40.0,51.65627328069810,48.70833333333330
2014-01-02,Rice,Peaty,5.5,14.421758588058800,80.0,71.5,54.0,38.5,0.0,27.333333333333300
2014-01-02,Barley,Saline,8.0,11.400778958026500,80.0,65.0,55.0,45.0,8.159006261940540,13.75
2014-01-02,Soybean,Peaty,5.5,9.347238476592170,80.0,49.5,45.0,38.5,0.0,22.166666666666700
2014-01-02,Cotton,Loamy,6.5,19.438742297966800,80.0,77.0,66.0,60.0,108.29273092196100,67.66666666666670
2014-01-02,Sugarcane,Clay,6.25,10.803912383886800,80.0,78.0,60.0,48.0,0.0,54.25
2014-01-02,Tomato,Clay,6.25,19.877725635611800,80.0,60.0,45.0,40.0,31.009610621508700,42.29166666666670
2014-01-02,Potato,Saline,8.0,19.062629111971000,80.0,71.5,55.0,40.5,52.589621860831100,13.916666666666700
2014-01-02,Sunflower,Saline,8.0,20.01766448946010,79.98233551053990,65.0,60.50000000000000,49.50000000000000,65.93659541111210,14.583333333333300
2014-01-03,Wheat,Loamy,6.5,1.9012744795512800,80.0,77.0,60.0,45.0,0.0,60.666666666666700
2014-01-03,Corn,Peaty,5.5,13.504963247670700,80.0,66.0,49.50000000000000,35.0,22.325126643223800,25.083333333333300
2014-01-03,Rice,Saline,8.0,12.327917731632500,80.0,84.5,66.0,49.50000000000000,0.0,16.666666666666700
2014-01-03,Barley,Loamy,6.5,18.718556418856100,80.0,70.0,60.0,50.0,81.29906551707640,60.0
2014-01-03,Soybean,Clay,6.25,17.507241657624000,80.0,54.0,50.0,44.0,54.13286650296530,43.16666666666670
2014-01-03,Cotton,Peaty,5.5,16.572564479315900,80.0,60.50000000000000,49.50000000000000,42.0,39.1232360605833,25.333333333333300
2014-01-03,Sugarcane,Clay,6.25,13.361874083610000,80.0,78.0,60.0,48.0,0.0,54.25
2014-01-03,Tomato,Loamy,6.5,17.304778077101500,80.0,70.0,54.0,50.0,19.466158350497800,58.0
2014-01-03,Potato,Sandy,6.75,10.64847522719460,80.0,55.00000000000000,40.0,27.0,3.2656457465653900,35.58333333333330
2014-01-03,Sunflower,Sandy,6.75,29.718317082406400,70.28168291759360,50.0,44.0,33.0,1.4646000454946300,37.04166666666670
2014-01-04,Wheat,Loamy,6.5,16.074694150473800,80.0,77.0,60.0,45.0,50.06652544236730,60.666666666666700
2014-01-04,Corn,Sandy,6.75,22.019793693296500,77.98020630670350,60.0,44.0,30.0,46.616259561457200,39.08333333333330
2014-01-04,Rice,Clay,6.25,11.20836439740880,80.0,78.0,60.0,44.0,0.0,53.08333333333330
2014-01-04,Barley,Saline,8.0,16.724511675223600,80.0,65.0,55.0,45.0,33.29445898862130,13.75
2014-01-04,Soybean,Clay,6.25,2.506204291806440,80.0,54.0,50.0,44.0,0.0,43.16666666666670
2014-01-04,Cotton,Loamy,6.5,21.15889188358060,78.84110811641950,77.0,66.0,60.0,83.74058544645530,67.66666666666670
2014-01-04,Sugarcane,Saline,8.0,22.02602652939090,77.97397347060910,84.5,66.0,54.0,45.860149215794100,17.041666666666700
2014-01-04,Tomato,Sandy,6.75,15.384474742922900,80.0,50.0,36.0,30.0,1.864858226250710,33.83333333333330
2014-01-04,Potato,Saline,8.0,12.917718182243100,80.0,71.5,55.0,40.5,18.27876325168960,13.916666666666700
2014-01-04,Sunflower,Loamy,6.5,10.242641246759800,80.0,70.0,66.0,55.00000000000000,2.254674208267200,63.666666666666700
2014-01-05,Wheat,Sandy,6.75,10.402878828831000,80.0,55.00000000000000,40.0,27.0,2.1518180130853400,35.58333333333330
2014-01-05,Corn,Clay,6.25,13.389692418971600,80.0,72.0,55.00000000000000,40.0,23.579096656968100,48.70833333333330
2014-01-05,Rice,Clay,6.25,15.065169498832800,80.0,78.0,60.0,44.0,0.5669297945276310,53.08333333333330
2014-01-05,Barley,Loamy,6.5,17.507981826730900,80.0,70.0,60.0,50.0,61.85110775554650,60.0
2014-01-05,Soybean,Loamy,6.5,17.60970782808450,80.0,63.0,60.0,55.00000000000000,69.42289755965100,59.333333333333300
2014-01-05,Cotton,Peaty,5.5,16.732241047484900,80.0,60.50000000000000,49.50000000000000,42.0,44.400611279226700,25.333333333333300
2014-01-05,Sugarcane,Loamy,6.5,17.834470353935400,80.0,91.0,72.0,60.0,31.152430971059500,74.33333333333330
2014-01-05,Tomato,Loamy,6.5,5.327149022494750,80.0,70.0,54.0,50.0,0.0,58.0
2014-01-05,Potato,Sandy,6.75,14.97571527674490,80.0,55.00000000000000,40.0,27.0,27.500607590476300,35.58333333333330
2014-01-05,Sunflower,Loamy,6.5,9.43751322835276,80.0,70.0,66.0,55.00000000000000,0.0,63.666666666666700
2014-01-06,Wheat,Peaty,5.5,26.366725790087400,73.6332742099126,60.50000000000000,45.0,31.5,20.602318251702600,22.833333333333300
2014-01-06,Corn,Saline,8.0,7.508521813140350,80.0,78.0,60.50000000000000,45.0,0.0,15.291666666666700
2014-01-06,Rice,Loamy,6.5,15.065009459389500,80.0,91.0,72.0,55.00000000000000,0.6898494419046510,72.66666666666670
2014-01-06,Barley,Saline,8.0,28.600845832948100,71.3991541670519,65.0,55.0,45.0,6.483882013014100,13.75
2014-01-06,Soybean,Peaty,5.5,15.209900322350100,80.0,49.5,45.0,38.5,27.372616072547100,22.166666666666700
2014-01-06,Cotton,Saline,8.0,18.701704089738700,80.0,71.5,60.50000000000000,54.0,56.934901851088700,15.5
2014-01-06,Sugarcane,Peaty,5.5,10.766031409658000,80.0,71.5,54.0,42.0,0.0,27.916666666666700
2014-01-06,Tomato,Clay,6.25,19.28199397161740,80.0,60.0,45.0,40.0,29.764974326685300,42.29166666666670
2014-01-06,Potato,Clay,6.25,18.175562754509900,80.0,66.0,50.0,36.0,51.32034861311790,44.33333333333330
2014-01-06,Sunflower,Clay,6.25,11.246190784661600,80.0,60.0,55.00000000000000,44.0,9.939658216534640,46.375
2014-01-07,Wheat,Sandy,6.75,17.093197345863000,80.0,55.00000000000000,40.0,27.0,33.69840395636190,35.58333333333330
2014-01-07,Corn,Clay,6.25,17.338585387490600,80.0,72.0,55.00000000000000,40.0,59.710619004996500,48.70833333333330
2014-01-07,Rice,Saline,8.0,9.083671892727910,80.0,84.5,66.0,49.50000000000000,0.0,16.666666666666700
2014-01-07,Barley,Peaty,5.5,11.564124123337400,80.0,55.0,45.0,35.0,10.135818324693300,22.5
2014-01-07,Soybean,Loamy,6.5,26.573292833367500,73.42670716663250,63.0,60.0,55.00000000000000,31.906967721267600,59.333333333333300
2014-01-07,Cotton,Sandy,6.75,6.936420644051740,80.0,55.00000000000000,44.0,36.0,0.0,39.375
2014-01-07,Sugarcane,Sandy,6.75,12.293572791800200,80.0,65.0,48.0,36.0,0.0,43.45833333333330
2014-01-07,Tomato,Saline,8.0,17.5934722885889,80.0,65.0,49.5,45.0,12.608628737682600,13.291666666666700
2014-01-07,Potato,Loamy,6.5,21.81717745475850,78.18282254524150,77.0,60.0,45.0,74.5764475921633,60.666666666666700
2014-01-07,Sunflower,Loamy,6.5,17.210370084333700,80.0,70.0,66.0,55.00000000000000,74.72880792976520,63.666666666666700
2014-01-08,Wheat,Peaty,5.5,10.712255571694500,80.0,60.50000000000000,45.0,31.5,4.598427035828950,22.833333333333300
2014-01-08,Corn,Sandy,6.75,11.612921661426200,80.0,60.0,44.0,30.0,9.939936909801650,39.08333333333330
2014-01-08,Rice,Clay,6.25,13.40322461092610,80.0,78.0,60.0,44.0,0.0,53.08333333333330
2014-01-08,Barley,Saline,8.0,26.224033030052800,73.77596696994720,65.0,55.0,45.0,25.40515212452460,13.75
2014-01-08,Soybean,Peaty,5.5,9.082134160277310,80.0,49.5,45.0,38.5,0.0,22.166666666666700
2014-01-08,Cotton,Peaty,5.5,10.923645317390400,80.0,60.50000000000000,49.50000000000000,42.0,6.05077969634733,25.333333333333300
2014-01-08,Sugarcane,Peaty,5.5,12.25373546317850,80.0,71.5,54.0,42.0,0.0,27.916666666666700
2014-01-08,Tomato,Clay,6.25,12.507966886467800,80.0,60.0,45.0,40.0,0.0,42.29166666666670
2014-01-08,Potato,Clay,6.25,15.009068055973400,80.0,66.0,50.0,36.0,43.15821942372490,44.33333333333330
2014-01-08,Sunflower,Clay,6.25,17.069374186254000,80.0,60.0,55.00000000000000,44.0,51.33420343375800,46.375
2014-01-09,Wheat,Loamy,6.5,18.039192701674000,80.0,77.0,60.0,45.0,65.58931209911630,60.666666666666700
2014-01-09,Corn,Saline,8.0,16.021414710006600,80.0,78.0,60.50000000000000,45.0,38.94700430472390,15.291666666666700
2014-01-09,Rice,Loamy,6.5,17.507133785130400,80.0,91.0,72.0,55.00000000000000,25.49960002176690,72.66666666666670
2014-01-09,Barley,Peaty,5.5,10.659578872977600,80.0,55.0,45.0,35.0,3.339937412435890,22.5
2014-01-09,Soybean,Sandy,6.75,9.22242044955258,80.0,45.0,40.0,33.0,0.0,34.41666666666670
2014-01-09,Cotton,Loamy,6.5,21.40960190157100,78.59039809842900,77.0,66.0,60.0,84.09294491993920,67.66666666666670
2014-01-09,Sugarcane,Saline,8.0,17.647177558269000,80.0,84.5,66.0,54.0,18.776499825300800,17.041666666666700
2014-01-09,Tomato,Saline,8.0,12.470599733828500,80.0,65.0,49.5,45.0,0.0,13.291666666666700
2014-01-09,Potato,Sandy,6.75,24.352119489077600,75.64788051092240,55.00000000000000,40.0,27.0,30.715802727649200,35.58333333333330
2014-01-09,Sunflower,Sandy,6.75,16.913997335753900,80.0,50.0,44.0,33.0,46.55497714190160,37.04166666666670
2014-01-10,Wheat,Saline,8.0,18.822391176628600,80.0,71.5,55.0,40.5,47.1186396895767,13.916666666666700
2014-01-10,Corn,Sandy,6.75,18.952969947120700,80.0,60.0,44.0,30.0,75.52870067180930,39.08333333333330
2014-01-10,Rice,Sandy,6.75,18.40976485647480,80.0,65.0,48.0,33.0,24.41326635337320,42.58333333333330
2014-01-10,Barley,Peaty,5.5,14.349284728161600,80.0,55.0,45.0,35.0,25.98794450843100,22.5
2014-01-10,Soybean,Saline,8.0,16.009537209014000,80.0,58.5,55.0,49.50000000000000,29.345216893002500,13.583333333333300
2014-01-10,Cotton,Saline,8.0,16.346588271262700,80.0,71.5,60.50000000000000,54.0,43.91238015176780,15.5
2014-01-10,Sugarcane,Saline,8.0,16.622591581872800,80.0,84.5,66.0,54.0,12.646138870181100,17.041666666666700
2014-01-10,Tomato,Sandy,6.75,17.480321166129400,80.0,50.0,36.0,30.0,13.945125375071600,33.83333333333330
2014-01-10,Potato,Clay,6.25,7.091730371927270,80.0,66.0,50.0,36.0,0.0,44.33333333333330
2014-01-10,Sunflower,Peaty,5.5,16.1874262581097,80.0,55.0,49.50000000000000,38.5,34.729450166846200,23.833333333333300
2014-01-11,Wheat,Saline,8.0,11.678862783477900,80.0,71.5,55.0,40.5,7.813979934924680,13.916666666666700
2014-01-11,Corn,Clay,6.25,22.85016140271340,77.14983859728670,72.0,55.00000000000000,40.0,46.07741078794230,48.70833333333330
2014-01-11,Rice,Saline,8.0,14.90743432003810,80.0,84.5,66.0,49.50000000000000,0.0,16.666666666666700
2014-01-11,Barley,Sandy,6.75,10.863845282238400,80.0,50.0,40.0,30.0,5.298909846807390,35.0
2014-01-11,Soybean,Sandy,6.75,7.771950137639590,80.0,45.0,40.0,33.0,0.0,34.41666666666670
2014-01-11,Cotton,Clay,6.25,17.288382272144200,80.0,66.0,55.00000000000000,48.0,58.581163664269100,49.29166666666670
2014-01-11,Sugarcane,Saline,8.0,19.21787011390170,80.0,84.5,66.0,54.0,28.07067229128130,17.041666666666700
2014-01-11,Tomato,Sandy,6.75,10.164444726995200,80.0,50.0,36.0,30.0,0.0,33.83333333333330
2014-01-11,Potato,Sandy,6.75,14.2835837064146,80.0,55.00000000000000,40.0,27.0,24.058366117294300,35.58333333333330
2014-01-11,Sunflower,Clay,6.25,11.312852667616100,80.0,60.0,55.00000000000000,44.0,8.571736478292110,46.375
2014-01-12,Wheat,Clay,6.25,11.215469547442000,80.0,66.0,50.0,36.0,7.6123756311003600,44.33333333333330
2014-01-12,Corn,Loamy,6.5,11.143972692091400,80.0,84.0,66.0,50.0,13.586015126675500,66.66666666666670
2014-01-12,Rice,Sandy,6.75,23.638738137171300,76.36126186282870,65.0,48.0,33.0,56.03769136729420,42.58333333333330
2014-01-12,Barley,Loamy,6.5,12.982225215765400,80.0,70.0,60.0,50.0,30.80338267093940,60.0
2014-01-12,Soybean,Clay,6.25,8.841346162450870,80.0,54.0,50.0,44.0,0.0,43.16666666666670
2014-01-12,Cotton,Clay,6.25,12.762859878709300,80.0,66.0,55.00000000000000,48.0,25.181591946193200,49.29166666666670
2014-01-12,Sugarcane,Loamy,6.5,16.378175789437000,80.0,91.0,72.0,60.0,11.598348403571100,74.33333333333330
2014-01-12,Tomato,Sandy,6.75,10.49353090667670,80.0,50.0,36.0,30.0,0.0,33.83333333333330
2014-01-12,Potato,Saline,8.0,15.026218498590900,80.0,71.5,55.0,40.5,28.056033659942300,13.916666666666700
2014-01-12,Sunflower,Sandy,6.75,18.114249661737500,80.0,50.0,44.0,33.0,51.570401248477500,37.04166666666670
2014-01-13,Wheat,Sandy,6.75,-2.390846068182780,80.0,55.00000000000000,40.0,27.0,0.0,35.58333333333330
2014-01-13,Corn,Sandy,6.75,19.464126821494300,80.0,60.0,44.0,30.0,70.81319427220560,39.08333333333330
2014-01-13,Rice,Loamy,6.5,9.898083763689230,80.0,91.0,72.0,55.00000000000000,0.0,72.66666666666670
2014-01-13,Barley,Loamy,6.5,19.389125842400600,80.0,70.0,60.0,50.0,91.28471531363150,60.0
2014-01-13,Soybean,Clay,6.25,20.29212243424790,79.70787756575210,54.0,50.0,44.0,60.17106836221290,43.16666666666670
2014-01-13,Cotton,Clay,6.25,4.803839111199500,80.0,66.0,55.00000000000000,48.0,0.0,49.29166666666670
2014-01-13,Sugarcane,Peaty,5.5,16.100371644018100,80.0,71.5,54.0,42.0,8.086610398029640,27.916666666666700
2014-01-13,Tomato,Clay,6.25,18.228663943616200,80.0,60.0,45.0,40.0,24.00842334658650,42.29166666666670
2014-01-13,Potato,Peaty,5.5,7.384195647641200,80.0,60.50000000000000,45.0,31.5,0.0,22.833333333333300
2014-01-13,Sunflower,Loamy,6.5,8.14205310138438,80.0,70.0,66.0,55.00000000000000,0.0,63.666666666666700
2014-01-14,Wheat,Peaty,5.5,18.736840158059000,80.0,60.50000000000000,45.0,31.5,57.71723263224420,22.833333333333300
2014-01-14,Corn,Clay,6.25,13.403199962331700,80.0,72.0,55.00000000000000,40.0,28.35676471691440,48.70833333333330
2014-01-14,Rice,Saline,8.0,12.348711908137800,80.0,84.5,66.0,49.50000000000000,0.0,16.666666666666700
2014-01-14,Barley,Clay,6.25,9.823788387903130,80.0,60.0,50.0,40.0,0.0,43.75
2014-01-14,Soybean,Clay,6.25,17.572944953452700,80.0,54.0,50.0,44.0,57.770226086912400,43.16666666666670
2014-01-14,Cotton,Sandy,6.75,11.89818138732220,80.0,55.00000000000000,44.0,36.0,12.215463942046900,39.375
2014-01-14,Sugarcane,Clay,6.25,15.960451903163200,80.0,78.0,60.0,48.0,8.270975547813730,54.25
2014-01-14,Tomato,Loamy,6.5,15.63717203334050,80.0,70.0,54.0,50.0,4.995744660303710,58.0
2014-01-14,Potato,Loamy,6.5,10.138657261379600,80.0,77.0,60.0,45.0,1.4540496907469900,60.666666666666700
2014-01-14,Sunflower,Sandy,6.75,2.7162647156826000,80.0,50.0,44.0,33.0,0.0,37.04166666666670
2014-01-15,Wheat,Sandy,6.75,7.197470428086650,80.0,55.00000000000000,40.0,27.0,0.0,35.58333333333330
2014-01-15,Corn,Clay,6.25,4.446502394249110,80.0,72.0,55.00000000000000,40.0,0.0,48.70833333333330
2014-01-15,Rice,Peaty,5.5,26.871647017461900,73.12835298253810,71.5,54.0,38.5,49.70108774536170,27.333333333333300
2014-01-15,Barley,Loamy,6.5,22.910190914818900,77.0898090851811,70.0,60.0,50.0,56.56051919523640,60.0
2014-01-15,Soybean,Peaty,5.5,19.630887737658200,80.0,49.5,45.0,38.5,44.070576802347700,22.166666666666700
2014-01-15,Cotton,Saline,8.0,17.814846183452900,80.0,71.5,60.50000000000000,54.0,47.68993161560260,15.5
2014-01-15,Sugarcane,Peaty,5.5,18.987421022391600,80.0,71.5,54.0,42.0,31.511632367525800,27.916666666666700
2014-01-15,Tomato,Sandy,6.75,14.627461767344100,80.0,50.0,36.0,30.0,0.0,33.83333333333330
2014-01-15,Potato,Clay,6.25,19.665060701941700,80.0,66.0,50.0,36.0,65.84216136406590,44.33333333333330
2014-01-15,Sunflower,Loamy,6.5,9.98976638185633,80.0,70.0,66.0,55.00000000000000,0.0,63.666666666666700
2014-01-16,Wheat,Peaty,5.5,16.29861250860740,80.0,60.50000000000000,45.0,31.5,36.72058760108770,22.833333333333300
2014-01-16,Corn,Loamy,6.5,6.6923996886552,80.0,84.0,66.0,50.0,0.0,66.66666666666670
2014-01-16,Rice,Loamy,6.5,14.257242974964800,80.0,91.0,72.0,55.00000000000000,0.0,72.66666666666670
2014-01-16,Barley,Saline,8.0,18.801255473176800,80.0,65.0,55.0,45.0,47.7551777576204,13.75
2014-01-16,Soybean,Loamy,6.5,17.8853606359027,80.0,63.0,60.0,55.00000000000000,72.78440062298730,59.333333333333300
2014-01-16,Cotton,Sandy,6.75,11.980074066420900,80.0,55.00000000000000,44.0,36.0,11.120432111545800,39.375
2014-01-16,Sugarcane,Sandy,6.75,17.440220396893700,80.0,65.0,48.0,36.0,17.063669412800100,43.45833333333330
2014-01-16,Tomato,Sandy,6.75,15.568647301064900,80.0,50.0,36.0,30.0,3.3331373297713400,33.83333333333330
2014-01-16,Potato,Loamy,6.5,16.972260711891500,80.0,77.0,60.0,45.0,65.28612360174240,60.666666666666700
2014-01-16,Sunflower,Peaty,5.5,25.377003993227200,74.62299600677280,55.0,49.50000000000000,38.5,21.818662067862100,23.833333333333300
2014-01-17,Wheat,Clay,6.25,13.749386994627400,80.0,66.0,50.0,36.0,25.23948522180650,44.33333333333330
2014-01-17,Corn,Sandy,6.75,3.848350461870560,80.0,60.0,44.0,30.0,0.0,39.08333333333330
2014-01-17,Rice,Sandy,6.75,8.947494204653160,80.0,65.0,48.0,33.0,0.0,42.58333333333330
2014-01-17,Barley,Loamy,6.5,15.274596493261300,80.0,70.0,60.0,50.0,54.27155612796130,60.0
2014-01-17,Soybean,Loamy,6.5,7.607068771100790,80.0,63.0,60.0,55.00000000000000,0.0,59.333333333333300
2014-01-17,Cotton,Saline,8.0,12.923560430496000,80.0,71.5,60.50000000000000,54.0,18.970846245583400,15.5
2014-01-17,Sugarcane,Loamy,6.5,12.563024880394300,80.0,91.0,72.0,60.0,0.0,74.33333333333330
2014-01-17,Tomato,Sandy,6.75,10.91499280369550,80.0,50.0,36.0,30.0,0.0,33.83333333333330
2014-01-17,Potato,Clay,6.25,23.210480855537200,76.78951914446280,66.0,50.0,36.0,49.44697776809280,44.33333333333330
2014-01-17,Sunflower,Peaty,5.5,10.263293100289400,80.0,55.0,49.50000000000000,38.5,1.3654272234789600,23.833333333333300
2014-01-18,Wheat,Saline,8.0,9.906902759477560,80.0,71.5,55.0,40.5,0.0,13.916666666666700
2014-01-18,Corn,Loamy,6.5,12.632056095114500,80.0,84.0,66.0,50.0,28.975260492844600,66.66666666666670
2014-01-18,Rice,Peaty,5.5,18.59049274125840,80.0,71.5,54.0,38.5,20.779519615663500,27.333333333333300
2014-01-18,Barley,Clay,6.25,11.598692064030500,80.0,60.0,50.0,40.0,14.401889005358500,43.75
2014-01-18,Soybean,Sandy,6.75,19.33924518331590,80.0,45.0,40.0,33.0,47.76340486290680,34.41666666666670
2014-01-18,Cotton,Peaty,5.5,16.023051047624600,80.0,60.50000000000000,49.50000000000000,42.0,39.08258089997640,25.333333333333300
2014-01-18,Sugarcane,Clay,6.25,11.862905578112600,80.0,78.0,60.0,48.0,0.0,54.25
2014-01-18,Tomato,Sandy,6.75,13.053559041362500,80.0,50.0,36.0,30.0,0.0,33.83333333333330
2014-01-18,Potato,Saline,8.0,21.985822137744100,78.01417786225600,71.5,55.0,40.5,49.7294013211563,13.916666666666700
2014-01-18,Sunflower,Clay,6.25,11.84793687985180,80.0,60.0,55.00000000000000,44.0,11.64693540793100,46.375
2014-01-19,Wheat,Sandy,6.75,7.221250120641860,80.0,55.00000000000000,40.0,27.0,0.0,35.58333333333330
2014-01-19,Corn,Loamy,6.5,18.87736286244460,80.0,84.0,66.0,50.0,87.45057605407850,66.66666666666670
2014-01-19,Rice,Sandy,6.75,1.5155667852921400,80.0,65.0,48.0,33.0,0.0,42.58333333333330
2014-01-19,Barley,Loamy,6.5,18.48103182406710,80.0,70.0,60.0,50.0,80.27298638085100,60.0
